call_number,timestamp_ns,timestamp_cycles,delta_ns,delta_cycles,violation
441,46225395977088,115412879253288,155,384,0
442,46225395977244,115412879253678,156,390,0
443,46225395977398,115412879254066,154,388,0
444,46225395977554,115412879254452,156,386,0
445,46225395977709,115412879254840,155,388,0
446,46225395977864,115412879255228,155,388,0
447,46225395978020,115412879255618,156,390,0
448,46225395978175,115412879256006,155,388,0
449,46225395978331,115412879256392,156,386,0
450,46225395978487,115412879256782,156,390,0
451,46225395978642,115412879257170,155,388,0
452,46225395978797,115412879257556,155,386,0
453,46225395978951,115412879257942,154,386,0
454,46225395979108,115412879258330,157,388,0
455,46225395979263,115412879258718,155,388,0
456,46225395979418,115412879259106,155,388,0
457,46225395981143,115412879263416,1725,4310,0
458,46225395981333,115412879263887,190,471,0
459,46225395981500,115412879264304,167,417,0
460,46225395981661,115412879264702,161,398,0
461,46225395981818,115412879265098,157,396,0
462,46225395981977,115412879265494,159,396,0
463,46225395982134,115412879265888,157,394,0
464,46225395982294,115412879266286,160,398,0
465,46225395982451,115412879266680,157,394,0
466,46225395982612,115412879267078,161,398,0
467,46225395982770,115412879267473,158,395,0
468,46225395982928,115412879267867,158,394,0
469,46225395983086,115412879268263,158,396,0
470,46225395983241,115412879268651,155,388,0
471,46225395983398,115412879269041,157,390,0
472,46225395983553,115412879269429,155,388,0
473,46225395983708,115412879269817,155,388,0
474,46225395983863,115412879270203,155,386,0
475,46225395984018,115412879270588,155,385,0
476,46225395984172,115412879270974,154,386,0
477,46225395984326,115412879271358,154,384,0
478,46225395984481,115412879271744,155,386,0
479,46225395984636,115412879272130,155,386,0
480,46225395984790,115412879272514,154,384,0
481,46225395984945,115412879272900,155,386,0
482,46225395985099,115412879273286,154,386,0
483,46225395985253,115412879273674,154,388,0
484,46225395985408,115412879274060,155,386,0
485,46225395985563,115412879274446,155,386,0
486,46225395985719,115412879274834,156,388,0
487,46225395985873,115412879275220,154,386,0
488,46225395986026,115412879275604,153,384,0
489,46225395986183,115412879275994,157,390,0
490,46225395986337,115412879276378,154,384,0
491,46225395986492,115412879276763,155,385,0
492,46225395986645,115412879277149,153,386,0
493,46225395986799,115412879277533,154,384,0
494,46225395986955,115412879277917,156,384,0
495,46225395987108,115412879278305,153,388,0
496,46225395987262,115412879278689,154,384,0
497,46225395987417,115412879279075,155,386,0
498,46225395987571,115412879279459,154,384,0
499,46225395987725,115412879279843,154,384,0
500,46225395987880,115412879280229,155,386,0
501,46225395988034,115412879280613,154,384,0
502,46225395988188,115412879280999,154,386,0
503,46225395988343,115412879281385,155,386,0
504,46225395988497,115412879281770,154,385,0
505,46225395988652,115412879282156,155,386,0
506,46225395988807,115412879282542,155,386,0
507,46225395988961,115412879282928,154,386,0
508,46225395989116,115412879283316,155,388,0
