measurement_id,time_diff_ns,cycles_diff,zero_diff
1506,39,96,0
1507,39,98,0
1508,40,100,0
1509,39,101,0
1510,40,98,0
1511,39,98,0
1512,39,100,0
1513,38,97,0
1514,39,99,0
1515,39,97,0
1516,38,99,0
1517,39,97,0
1518,39,101,0
1519,39,96,0
1520,39,100,0
1521,38,99,0
1522,39,97,0
1523,40,99,0
1524,40,97,0
1525,40,99,0
1526,40,95,0
1527,40,97,0
1528,40,101,0
1529,39,100,0
1530,39,101,0
1531,38,98,0
1532,39,98,0
1533,39,98,0
1534,38,98,0
1535,40,98,0
1536,39,98,0
1537,40,98,0
1538,39,98,0
1539,39,98,0
1540,37,98,0
1541,39,98,0
1542,39,97,0
1543,38,99,0
1544,40,99,0
1545,39,101,0
1546,39,100,0
1547,39,101,0
1548,39,99,0
1549,40,96,0
1550,39,98,0
1551,39,98,0
1552,40,98,0
1553,39,98,0
1554,40,100,0
1555,39,101,0
1556,40,95,0
1557,39,98,0
1558,40,100,0
1559,40,99,0
1560,41,97,0
1561,40,100,0
1562,40,100,0
1563,40,101,0
1564,41,97,0
1565,40,96,0
1566,40,102,0
1567,39,101,0
1568,40,101,0
1569,40,97,0
1570,39,98,0
1571,39,98,0
1572,39,98,0
1573,39,96,0
1574,40,98,0
1575,38,98,0
1576,39,100,0
1577,39,97,0
1578,39,98,0
1579,40,98,0
1580,39,98,0
1581,38,100,0
1582,38,99,0
1583,39,100,0
1584,38,98,0
1585,39,98,0
1586,39,96,0
1587,40,99,0
1588,40,99,0
1589,39,99,0
1590,39,101,0
1591,39,98,0
1592,40,100,0
1593,40,97,0
1594,39,99,0
1595,40,97,0
1596,40,97,0
1597,39,97,0
1598,39,97,0
1599,40,99,0
1600,39,97,0
1601,40,97,0
1602,40,99,0
1603,39,97,0
1604,39,101,0
1605,39,98,0
1606,40,98,0
1607,39,100,0
1608,39,99,0
1609,40,95,0
1610,40,97,0
1611,41,101,0
1612,39,98,0
1613,40,98,0
1614,40,98,0
1615,39,96,0
1616,39,98,0
1617,38,98,0
1618,38,98,0
1619,40,100,0
1620,40,99,0
1621,40,101,0
1622,39,100,0
1623,41,99,0
1624,41,99,0
1625,40,101,0
1626,39,96,0
1627,39,96,0
1628,40,98,0
1629,39,100,0
1630,42,95,0
1631,39,97,0
1632,38,96,0
1633,39,99,0
1634,40,98,0
1635,40,98,0
1636,39,98,0
1637,39,99,0
1638,40,99,0
1639,39,98,0
1640,40,100,0
1641,39,100,0
1642,40,99,0
1643,39,99,0
1644,40,97,0
1645,41,99,0
1646,41,97,0
1647,41,98,0
1648,39,100,0
1649,38,96,0
1650,39,96,0
